"pid","laddr","raddr","status"
"12256","127.0.0.1@50368","127.0.0.1@55403","ESTABLISHED"
"12256","10.250.144.114@54786","173.194.202.188@5228","ESTABLISHED"
"12256","127.0.0.1@50368","127.0.0.1@55512","ESTABLISHED"
"12256","127.0.0.1@50368","127.0.0.1@55142","ESTABLISHED"
"12256","127.0.0.1@50368","127.0.0.1@55407","ESTABLISHED"
"12256","10.250.144.114@55491","151.101.24.133@443","ESTABLISHED"
"12256","10.250.144.114@55485","151.101.24.133@443","ESTABLISHED"
"12256","10.250.144.114@55481","151.101.24.133@443","FIN_WAIT1"
"12256","10.250.144.114@55483","151.101.24.133@443","FIN_WAIT1"
"12256","10.250.144.114@55404","151.101.24.223@443","ESTABLISHED"
"12256","10.250.144.114@55370","216.58.195.67@443","LAST_ACK"
"12256","127.0.0.1@50368","127.0.0.1@54739","ESTABLISHED"
"12256","10.250.144.114@55482","151.101.24.133@443","FIN_WAIT1"
"12256","10.250.144.114@55143","192.30.253.125@443","ESTABLISHED"
"12256","10.250.144.114@55511","216.58.195.67@443","ESTABLISHED"
"12256","127.0.0.1@50368","127.0.0.1@55490","ESTABLISHED"
"12256","10.250.144.114@55484","151.101.24.133@443","FIN_WAIT1"
"12256","10.250.144.114@55417","104.25.103.25@443","ESTABLISHED"
"12256","10.250.144.114@55419","104.18.44.160@443","ESTABLISHED"
"12256","10.250.144.114@55369","216.58.195.78@443","LAST_ACK"
"12256","10.250.144.114@55480","151.101.24.133@443","FIN_WAIT1"
"12256","127.0.0.1@50368","127.0.0.1@55473","ESTABLISHED"
"12256","127.0.0.1@50368","127.0.0.1@55489","ESTABLISHED"
"12256","127.0.0.1@50368","127.0.0.1@55410","ESTABLISHED"
"12256","10.250.144.114@55492","151.101.24.133@443","ESTABLISHED"
"12256","127.0.0.1@50368","127.0.0.1@55510","ESTABLISHED"
"12256","10.250.144.114@55513","216.58.195.78@443","ESTABLISHED"
"7508","127.0.0.1@55473","127.0.0.1@50368","ESTABLISHED"
"7508","127.0.0.1@55490","127.0.0.1@50368","ESTABLISHED"
"7508","127.0.0.1@55407","127.0.0.1@50368","ESTABLISHED"
"7508","127.0.0.1@55512","127.0.0.1@50368","ESTABLISHED"
"7508","127.0.0.1@55510","127.0.0.1@50368","ESTABLISHED"
"7508","127.0.0.1@55489","127.0.0.1@50368","ESTABLISHED"
"7508","127.0.0.1@55142","127.0.0.1@50368","ESTABLISHED"
"7508","127.0.0.1@55410","127.0.0.1@50368","ESTABLISHED"
"7508","127.0.0.1@54739","127.0.0.1@50368","ESTABLISHED"
"7508","127.0.0.1@55403","127.0.0.1@50368","ESTABLISHED"
"0","127.0.0.1@50368","127.0.0.1@55459","TIME_WAIT"
"0","127.0.0.1@50368","127.0.0.1@55503","TIME_WAIT"
"0","127.0.0.1@50368","127.0.0.1@55367","TIME_WAIT"
"0","127.0.0.1@50368","127.0.0.1@55368","TIME_WAIT"
"0","127.0.0.1@50368","127.0.0.1@55506","TIME_WAIT"
"0","127.0.0.1@55437","127.0.0.1@50368","TIME_WAIT"
"0","127.0.0.1@55438","127.0.0.1@50368","TIME_WAIT"
"0","127.0.0.1@50368","127.0.0.1@55393","TIME_WAIT"
"0","127.0.0.1@50368","127.0.0.1@55405","TIME_WAIT"
"1268","127.0.0.1@62826","127.0.0.1@62827","ESTABLISHED"
"1268","127.0.0.1@5939","127.0.0.1@54644","ESTABLISHED"
"1268","10.250.144.114@54680","162.250.2.5@443","ESTABLISHED"
"1268","127.0.0.1@62827","127.0.0.1@62826","ESTABLISHED"
"13548","127.0.0.1@54683","127.0.0.1@54682","ESTABLISHED"
"13548","127.0.0.1@54682","127.0.0.1@54683","ESTABLISHED"
"13548","127.0.0.1@54644","127.0.0.1@5939","ESTABLISHED"
"1056","10.250.144.114@54735","65.52.108.234@443","ESTABLISHED"
"8644","10.250.144.114@54991","65.52.108.192@443","ESTABLISHED"
